timestamp,close,sma_20,diff,percent_diff,signal
2025-07-11 01:50:00+03:00,116100.64,116043.21,57.43,0.05,0
2025-07-11 01:55:00+03:00,116008.38,116010.51,-2.13,-0.0,0
2025-07-11 02:00:00+03:00,115946.94,115994.34,-47.4,-0.04,0
2025-07-11 02:05:00+03:00,116044.99,115976.04,68.95,0.06,0
2025-07-11 02:10:00+03:00,116008.5,115981.57,26.93,0.02,0
2025-07-11 02:15:00+03:00,115929.71,115981.99,-52.28,-0.05,0
2025-07-11 02:20:00+03:00,115836.73,115977.13,-140.4,-0.12,0
2025-07-11 02:25:00+03:00,115788.01,115973.0,-184.99,-0.16,0
2025-07-11 02:30:00+03:00,115657.76,115942.48,-284.72,-0.25,1
2025-07-11 02:35:00+03:00,115680.99,115900.27,-219.28,-0.19,0
2025-07-11 02:40:00+03:00,115786.12,115868.81,-82.69,-0.07,0
2025-07-11 02:45:00+03:00,115863.49,115854.32,9.17,0.01,0
2025-07-11 02:50:00+03:00,116010.0,115860.63,149.37,0.13,0
2025-07-11 02:55:00+03:00,116010.0,115857.13,152.87,0.13,0
2025-07-11 03:00:00+03:00,116020.01,115858.28,161.73,0.14,0
2025-07-11 03:05:00+03:00,116092.59,115874.57,218.02,0.19,0
2025-07-11 03:10:00+03:00,115890.46,115879.94,10.52,0.01,0
2025-07-11 03:15:00+03:00,115489.57,115850.1,-360.53,-0.31,1
2025-07-11 03:20:00+03:00,115316.08,115815.93,-499.85,-0.43,1
2025-07-11 03:25:00+03:00,115500.01,115797.83,-297.82,-0.26,1
2025-07-11 03:30:00+03:00,115567.03,115775.92,-208.89,-0.18,0
2025-07-11 03:35:00+03:00,115677.86,115757.36,-79.5,-0.07,0
2025-07-11 03:40:00+03:00,115444.84,115700.84,-256.01,-0.22,1
2025-07-11 03:45:00+03:00,115568.02,115656.65,-88.63,-0.08,0
2025-07-11 03:50:00+03:00,115518.14,115606.46,-88.32,-0.08,0
2025-07-11 03:55:00+03:00,115590.63,115556.26,34.37,0.03,0
2025-07-11 04:00:00+03:00,115574.02,115524.62,49.4,0.04,0
2025-07-11 04:05:00+03:00,115641.97,115539.86,102.11,0.09,0
2025-07-11 04:10:00+03:00,115656.01,115573.85,82.16,0.07,0
2025-07-11 04:15:00+03:00,115765.09,115600.36,164.73,0.14,0
2025-07-11 04:20:00+03:00,115951.81,115638.84,312.97,0.27,-1
2025-07-11 04:25:00+03:00,115945.46,115665.6,279.86,0.24,-1
2025-07-11 04:30:00+03:00,115924.86,115713.6,211.26,0.18,0
2025-07-11 04:35:00+03:00,115938.53,115750.65,187.88,0.16,0
2025-07-11 04:40:00+03:00,115993.72,115798.21,195.51,0.17,0
2025-07-11 04:45:00+03:00,116057.4,115844.89,212.51,0.18,0
2025-07-11 04:50:00+03:00,115878.45,115875.33,3.12,0.0,0
2025-07-11 04:55:00+03:00,115967.57,115907.89,59.68,0.05,0
2025-07-11 05:00:00+03:00,115869.86,115929.28,-59.41,-0.05,0
2025-07-11 05:05:00+03:00,115709.28,115923.69,-214.41,-0.18,0
2025-07-11 05:10:00+03:00,115976.45,115926.16,50.29,0.04,0
2025-07-11 05:15:00+03:00,116196.86,115951.3,245.56,0.21,-1
2025-07-11 05:20:00+03:00,116199.99,115978.81,221.18,0.19,0
2025-07-11 05:25:00+03:00,116279.99,116012.96,267.03,0.23,-1
2025-07-11 05:30:00+03:00,116346.99,116048.28,298.71,0.26,-1
2025-07-11 05:35:00+03:00,116463.49,116088.89,374.6,0.32,-1
2025-07-11 05:40:00+03:00,116490.01,116150.05,339.96,0.29,-1
2025-07-11 05:45:00+03:00,116594.31,116212.72,381.59,0.33,-1
2025-07-11 05:50:00+03:00,116761.08,116301.84,459.24,0.39,-1
2025-07-11 05:55:00+03:00,116672.57,116398.17,274.4,0.24,-1
2025-07-11 06:00:00+03:00,116579.88,116458.52,121.36,0.1,0
2025-07-11 06:05:00+03:00,116593.82,116498.21,95.61,0.08,0
2025-07-11 06:10:00+03:00,116487.76,116526.99,-39.23,-0.03,0
2025-07-11 06:15:00+03:00,116534.18,116552.41,-18.23,-0.02,0
2025-07-11 06:20:00+03:00,116523.75,116570.08,-46.34,-0.04,0
2025-07-11 06:25:00+03:00,116525.29,116576.26,-50.97,-0.04,0
2025-07-11 06:30:00+03:00,116525.62,116579.83,-54.21,-0.05,0
2025-07-11 06:35:00+03:00,116473.39,116567.73,-94.34,-0.08,0
2025-07-11 06:40:00+03:00,116579.99,116549.62,30.37,0.03,0
2025-07-11 06:45:00+03:00,116745.67,116556.94,188.73,0.16,0
2025-07-11 06:50:00+03:00,116768.94,116575.84,193.1,0.17,0
2025-07-11 06:55:00+03:00,116881.7,116604.63,277.07,0.24,-1
2025-07-11 07:00:00+03:00,116737.04,116629.56,107.48,0.09,0
2025-07-11 07:05:00+03:00,116642.79,116640.42,2.37,0.0,0
2025-07-11 07:10:00+03:00,116637.37,116651.78,-14.41,-0.01,0
2025-07-11 07:15:00+03:00,116619.96,116661.25,-41.29,-0.04,0
2025-07-11 07:20:00+03:00,116591.19,116667.8,-76.61,-0.07,0
2025-07-11 07:25:00+03:00,116553.53,116675.82,-122.29,-0.1,0
2025-07-11 07:30:00+03:00,116514.37,116669.26,-154.89,-0.13,0
2025-07-11 07:35:00+03:00,116520.34,116646.72,-126.38,-0.11,0
2025-07-11 07:40:00+03:00,116653.99,116635.23,18.76,0.02,0
2025-07-11 07:45:00+03:00,116834.5,116630.51,203.99,0.17,0
2025-07-11 07:50:00+03:00,116888.06,116645.61,242.45,0.21,-1
2025-07-11 07:55:00+03:00,116918.16,116673.15,245.01,0.21,-1
2025-07-11 08:00:00+03:00,116966.93,116706.1,260.83,0.22,-1
2025-07-11 08:05:00+03:00,117276.0,116771.71,504.29,0.43,-1
2025-07-11 08:10:00+03:00,117206.41,116833.23,373.18,0.32,-1
2025-07-11 08:15:00+03:00,117200.01,116897.88,302.13,0.26,-1
2025-07-11 08:20:00+03:00,117297.08,116976.15,320.93,0.27,-1
2025-07-11 08:25:00+03:00,117493.81,117073.5,420.32,0.36,-1
2025-07-11 08:30:00+03:00,117826.9,117190.79,636.11,0.54,-1
2025-07-11 08:35:00+03:00,117848.16,117292.15,556.01,0.47,-1
2025-07-11 08:40:00+03:00,117968.76,117400.22,568.54,0.48,-1
2025-07-11 08:45:00+03:00,118301.9,117538.6,763.3,0.65,-1
2025-07-11 08:50:00+03:00,118212.6,117663.16,549.44,0.47,-1
2025-07-11 08:55:00+03:00,117860.37,117721.6,138.77,0.12,0
2025-07-11 09:00:00+03:00,118016.78,117802.64,214.14,0.18,0
2025-07-11 09:05:00+03:00,118305.79,117913.22,392.57,0.33,-1
2025-07-11 09:10:00+03:00,118030.36,117986.54,43.82,0.04,0
2025-07-11 09:15:00+03:00,118150.0,118052.16,97.84,0.08,0
2025-07-11 09:20:00+03:00,118240.0,118093.47,146.53,0.12,0
2025-07-11 09:25:00+03:00,118140.91,118122.75,18.16,0.02,0
2025-07-11 09:30:00+03:00,118093.46,118135.22,-41.76,-0.04,0
2025-07-11 09:35:00+03:00,117982.57,118103.28,-120.71,-0.1,0
2025-07-11 09:40:00+03:00,117969.0,118078.92,-109.92,-0.09,0
2025-07-11 09:45:00+03:00,117848.03,118077.69,-229.66,-0.19,0
2025-07-11 09:50:00+03:00,117725.89,118048.6,-322.71,-0.27,1
2025-07-11 09:55:00+03:00,117648.33,117982.86,-334.53,-0.28,1
2025-07-11 10:00:00+03:00,117539.73,117933.79,-394.06,-0.33,1
2025-07-11 10:05:00+03:00,117483.99,117867.19,-383.2,-0.33,1
2025-07-11 10:10:00+03:00,117476.06,117790.8,-314.74,-0.27,1
2025-07-11 10:15:00+03:00,117614.88,117738.19,-123.31,-0.1,0
2025-07-11 10:20:00+03:00,117749.44,117703.79,45.65,0.04,0
2025-07-11 10:25:00+03:00,117876.9,117693.22,183.67,0.16,0
2025-07-11 10:30:00+03:00,117866.32,117682.96,183.36,0.16,0
2025-07-11 10:35:00+03:00,118003.29,117698.48,304.81,0.26,-1
2025-07-11 10:40:00+03:00,117956.66,117721.56,235.1,0.2,0
2025-07-11 10:45:00+03:00,117860.2,117742.75,117.45,0.1,0
2025-07-11 10:50:00+03:00,117722.61,117761.03,-38.42,-0.03,0
2025-07-11 10:55:00+03:00,117526.88,117765.32,-238.44,-0.2,1
2025-07-11 11:00:00+03:00,117632.15,117780.93,-148.78,-0.13,0
2025-07-11 11:05:00+03:00,117687.22,117788.17,-100.95,-0.09,0
2025-07-11 11:10:00+03:00,117790.85,117792.31,-1.46,-0.0,0
2025-07-11 11:15:00+03:00,117900.0,117794.62,105.38,0.09,0
2025-07-11 11:20:00+03:00,117944.5,117802.44,142.06,0.12,0
2025-07-11 11:25:00+03:00,117985.31,117800.64,184.67,0.16,0
2025-07-11 11:30:00+03:00,118009.62,117805.93,203.69,0.17,0
2025-07-11 11:35:00+03:00,117942.01,117814.12,127.9,0.11,0
2025-07-11 11:40:00+03:00,117999.98,117841.85,158.13,0.13,0
2025-07-11 11:45:00+03:00,117980.94,117887.26,93.68,0.08,0
2025-07-11 11:50:00+03:00,117994.92,117923.54,71.38,0.06,0
2025-07-11 11:55:00+03:00,117964.76,117951.29,13.47,0.01,0
2025-07-11 12:00:00+03:00,117926.29,117964.83,-38.54,-0.03,0
2025-07-11 12:05:00+03:00,117987.98,117973.63,14.35,0.01,0
2025-07-11 12:10:00+03:00,118033.16,117982.5,50.66,0.04,0
2025-07-11 12:15:00+03:00,118134.46,117997.41,137.05,0.12,0
2025-07-11 12:20:00+03:00,118173.46,118013.8,159.66,0.14,0
2025-07-11 12:25:00+03:00,118170.45,118036.64,133.81,0.11,0
2025-07-11 12:30:00+03:00,118420.01,118078.64,341.37,0.29,-1
2025-07-11 12:35:00+03:00,118783.94,118158.94,625.0,0.53,-1
2025-07-11 12:40:00+03:00,118583.87,118217.84,366.03,0.31,-1
2025-07-11 12:45:00+03:00,118712.0,118292.56,419.44,0.35,-1
2025-07-11 12:50:00+03:00,118467.81,118346.71,121.1,0.1,0
2025-07-11 12:55:00+03:00,118470.34,118394.95,75.39,0.06,0
2025-07-11 13:00:00+03:00,118374.15,118429.05,-54.9,-0.05,0
2025-07-11 13:05:00+03:00,118306.37,118446.24,-139.87,-0.12,0
2025-07-11 13:10:00+03:00,118120.39,118440.93,-320.54,-0.27,1
2025-07-11 13:15:00+03:00,118065.9,118430.48,-364.58,-0.31,1
2025-07-11 13:20:00+03:00,118297.8,118418.26,-120.46,-0.1,0
2025-07-11 13:25:00+03:00,118228.54,118362.72,-134.18,-0.11,0
2025-07-11 13:30:00+03:00,118160.01,118320.33,-160.32,-0.14,0
2025-07-11 13:35:00+03:00,118056.7,118254.8,-198.1,-0.17,0
2025-07-11 13:40:00+03:00,118083.33,118216.35,-133.02,-0.11,0
2025-07-11 13:45:00+03:00,118117.79,118181.1,-63.31,-0.05,0
2025-07-11 13:50:00+03:00,118093.63,118153.05,-59.42,-0.05,0
2025-07-11 13:55:00+03:00,117983.78,118120.79,-137.01,-0.12,0
2025-07-11 14:00:00+03:00,118107.6,118119.51,-11.91,-0.01,0
2025-07-11 14:05:00+03:00,118000.0,118112.92,-112.92,-0.1,0
2025-07-11 14:10:00+03:00,117727.88,118055.93,-328.05,-0.28,1
